Credora;Devedora;Período de referência;Período de tráfego;POI;Tipo;Descritor;GH;Quantidade de chamadas;Duração;Tarifa;Valor líquido;Pis/Cofins;ICMS;Valor Bruto;CN
G13;11;202607;202607;OI-SIPI;0;GS8L;R;9;7,2;0,00423;0,03;0;0;0,03;86
L74;11;202607;202607;VIVO-85;0;GS3L;N;24;38;0,00605;0,23;0;0;0,23;85
L74;11;202607;202607;VIVO-85;0;GS8L;N;6;17,4;0,00605;0,11;0;0;0,11;85
J07;11;202607;202607;VIVO-98;0;GS3L;N;5;5,6;0,00605;0,03;0;0;0,03;98
J07;11;202607;202607;VIVO-98;0;GS8L;N;9;21,3;0,00605;0,13;0;0;0,13;98
J07;11;202607;202607;VIVO-98;0;NENL;N;2062;9.122,31;0,00605;55,19;0,52;0;55,71;98
J07;11;202607;202607;VIVO-98;0;NENL;R;24;38,7;0,00423;0,16;0;0;0,16;98
L85;11;202607;202607;VIVO-SOC15;0;GS3L;N;1;2,8;0,00605;0,02;0;0;0,02;15
L85;11;202607;202607;VIVO-SOC15;0;GS8L;N;5;40,4;0,00605;0,24;0;0;0,24;15
G13;11;202607;202607;VIVOTSA;0;GS3L;N;3;10,1;0,00605;0,06;0;0;0,06;86
G13;11;202607;202607;VIVOTSA;0;NENL;N;14475;15.457,85;0,00605;93,52;0,9;0;94,42;86
G13;11;202607;202607;VIVOTSA;0;NENL;R;122;302,6;0,00423;1,28;0,01;0;1,29;86
L74;39;202607;202607;CLARO-88;0;LENL;N;5;10,3;0,00605;0,06;0;0;0,06;88
J07;39;202607;202607;CLARO-98;0;LENL;N;4163;15.732,23;0,00605;95,18;0,9;0;96,08;98
J07;39;202607;202607;CLARO-98;0;LENL;R;130;312,06;0,00423;1,32;0,01;0;1,33;98
J07;39;202607;202607;CLARO-99;0;LENL;N;22;22;0,00605;0,13;0;0;0,13;99
J07;39;202607;202607;CLARO-99;0;LENL;R;10;21,8;0,00423;0,09;0;0;0,09;99
G13;39;202607;202607;CLAROSMP89;0;LENL;N;1;1,8;0,00605;0,01;0;0;0,01;89
G13;39;202607;202607;EMBRATEL;0;LENL;N;2;6,4;0,00605;0,04;0;0;0,04;86
G13;39;202607;202607;OI-SIPI;0;LENL;N;2527;10.920,74;0,00605;64,76;0,61;0;65,37;86
G13;39;202607;202607;OI-SIPI;0;LENL;R;38;94;0,00423;0,39;0;0;0,39;86
G13;39;202607;202607;TIM-86;0;LENL;N;1;3,7;0,00605;0,02;0;0;0,02;86
J07;39;202607;202607;TIM-99;0;LENL;N;788;2.912,40;0,00605;17,62;0,17;0;17,79;99
J07;39;202607;202607;TIM-99;0;LENL;R;514;1.829,79;0,00423;7,74;0,07;0;7,81;99
L74;39;202607;202607;VIVO-85;0;LENL;N;16;36,4;0,00605;0,22;0;0;0,22;85
L74;39;202607;202607;VIVO-85;0;LENL;R;1;2,8;0,00423;0,01;0;0;0,01;85
L74;39;202607;202607;VIVO-88;0;LENL;N;11;27;0,00605;0,16;0;0;0,16;88
J07;39;202607;202607;VIVO-98;0;LENL;N;27748;89.927,27;0,00605;544,06;5,13;0;549,19;98
J07;39;202607;202607;VIVO-98;0;LENL;R;3416;12.479,91;0,00423;52,79;0,5;0;53,29;98
J07;39;202607;202607;VIVO-99;0;LENL;N;135;927,27;0,00605;5,61;0,05;0;5,66;99
J07;39;202607;202607;VIVO-99;0;LENL;R;45;418,44;0,00423;1,77;0,02;0;1,79;99
G13;39;202607;202607;VIVOTSA;0;LENL;N;2694;9.880,99;0,00605;59,78;0,56;0;60,34;86
G13;39;202607;202607;VIVOTSA;0;LENL;R;157;312,06;0,00423;1,32;0,01;0;1,33;86
L74;455;202607;202607;CLARO-85;0;LENL;N;568;684,3;0,00605;4,14;0,04;0;4,18;85
L74;455;202607;202607;CLARO-85;0;LENL;R;68;55,3;0,00423;0,23;0;0;0,23;85
L74;455;202607;202607;CLARO-88;0;LENL;N;40;71,1;0,00605;0,43;0;0;0,43;88
L74;455;202607;202607;CLARO-88;0;LENL;R;5;4,6;0,00423;0,02;0;0;0,02;88
J07;455;202607;202607;CLARO-98;0;LENL;N;3;2;0,00605;0,01;0;0;0,01;98
G13;455;202607;202607;OI-SIPI;0;LENL;N;336;1.290,05;0,00605;7,65;0,07;0;7,72;86
G13;455;202607;202607;OI-SIPI;0;LENL;R;19;92,3;0,00423;0,38;0;0;0,38;86
G13;455;202607;202607;TIM-86;0;LENL;N;1;5;0,00605;0,03;0;0;0,03;86
L74;455;202607;202607;TIM-88;0;LENL;N;4;7;0,00605;0,04;0;0;0,04;88
J07;455;202607;202607;TIM-99;0;LENL;N;3;10,5;0,00605;0,06;0;0;0,06;99
J07;455;202607;202607;TIM-99;0;LENL;R;2;1,8;0,00423;0,01;0;0;0,01;99
L74;455;202607;202607;VIVO-85;0;LENL;N;6906;20.042,98;0,00605;121,26;1,14;0;122,4;85
L74;455;202607;202607;VIVO-85;0;LENL;R;336;583,92;0,00423;2,47;0,02;0;2,49;85
L74;455;202607;202607;VIVO-88;0;LENL;N;2376;6.439,80;0,00605;38,51;0,36;0;38,87;88
L74;455;202607;202607;VIVO-88;0;LENL;R;177;385,17;0,00423;1,61;0,02;0;1,63;88
J07;455;202607;202607;VIVO-98;0;LENL;N;26;37,6;0,00605;0,23;0;0;0,23;98
J07;455;202607;202607;VIVO-98;0;LENL;R;19;24,7;0,00423;0,1;0;0;0,1;98
J07;455;202607;202607;VIVO-99;0;LENL;N;4;5,9;0,00605;0,04;0;0;0,04;99
G13;455;202607;202607;VIVOTSA;0;LENL;N;1013;3.596,69;0,00605;21,76;0,2;0;21,96;86
G13;455;202607;202607;VIVOTSA;0;LENL;R;76;434,99;0,00423;1,84;0,02;0;1,86;86
L74;456;202607;202607;CLARO-85;0;LENL;N;1;1,7;0,00605;0,01;0;0;0,01;85
L74;456;202607;202607;CLARO-88;0;LENL;N;4;8,6;0,00605;0,05;0;0;0,05;88
J07;456;202607;202607;CLARO-98;0;LENL;N;8;41,7;0,00605;0,25;0;0;0,25;98
J07;456;202607;202607;CLARO-99;0;LENL;N;3;8,1;0,00605;0,05;0;0;0,05;99
G13;456;202607;202607;CLAROSMP86;0;LENL;N;3;1,7;0,00605;0,01;0;0;0,01;86
G13;456;202607;202607;CLAROSMP89;0;LENL;N;34;23,4;0,00605;0,14;0;0;0,14;89
G13;456;202607;202607;EMBRATEL;0;LENL;N;94;466,12;0,00605;2,82;0,03;0;2,85;86
G13;456;202607;202607;EMBRATEL;0;LENL;R;8;25,2;0,00423;0,11;0;0;0,11;86
G13;456;202607;202607;OI-SIPI;0;LENL;N;120;391,23;0,00605;2,32;0,02;0;2,34;86
G13;456;202607;202607;OI-SIPI;0;LENL;R;7;40,7;0,00423;0,17;0;0;0,17;86
G13;456;202607;202607;TIM-86;0;LENL;N;74;242,98;0,00605;1,47;0,01;0;1,48;86
G13;456;202607;202607;TIM-86;0;LENL;R;8;17,2;0,00423;0,07;0;0;0,07;86
G13;456;202607;202607;TIM-89;0;LENL;N;18;25,4;0,00605;0,15;0;0;0,15;89
G13;456;202607;202607;TIM-89;0;LENL;R;9;34,6;0,00423;0,15;0;0;0,15;89
J07;456;202607;202607;TIM-99;0;LENL;N;63;106,3;0,00605;0,64;0,01;0;0,65;99
J07;456;202607;202607;TIM-99;0;LENL;R;39;53,5;0,00423;0,23;0;0;0,23;99
L74;456;202607;202607;VIVO-85;0;LENL;N;28;109,8;0,00605;0,66;0,01;0;0,67;85
L74;456;202607;202607;VIVO-88;0;LENL;N;16;29;0,00605;0,17;0;0;0,17;88
L74;456;202607;202607;VIVO-88;0;LENL;R;3;2;0,00423;0,01;0;0;0,01;88
J07;456;202607;202607;VIVO-98;0;LENL;N;183;961,98;0,00605;5,82;0,05;0;5,87;98
J07;456;202607;202607;VIVO-98;0;LENL;R;32;241,13;0,00423;1,02;0,01;0;1,03;98
J07;456;202607;202607;VIVO-99;0;LENL;N;23;56,5;0,00605;0,34;0;0;0,34;99
J07;456;202607;202607;VIVO-99;0;LENL;R;4;11,7;0,00423;0,05;0;0;0,05;99
L85;456;202607;202607;VIVO-SOC15;0;LENL;N;6;19,6;0,00605;0,12;0;0;0,12;15
G13;456;202607;202607;VIVOTSA;0;LENL;N;89791;385.304,13;0,00605;2.331,09;21,94;0;2.353,03;86
G13;456;202607;202607;VIVOTSA;0;LENL;R;5244;10.879,43;0,00423;46,02;0,43;0;46,45;86
;;;;;;;;;;;;;;3757,65;
